a,a,a,a
243_245386411,1465570800000000,1509860853,0
243_245386411,1568991600000000,1865233297,0
243_245386411,1568300400000000,1055974774,0
243_245386411,1504191600000000,2113171614,0
243_245386411,1489503600000000,677115308,0
243_245386411,1448722800000000,1552617652,0
243_245386411,1569078000000000,1664479306,0
243_245386411,1537801200000000,1511256567,0
243_245386411,1546959600000000,1736804080,0
243_245386411,1530543600000000,1915898213,0
243_245386411,1547478000000000,1674532751,0
243_245386411,1499180400000000,1258159119,0
243_245386411,1564498800000000,1591107147,0
243_245386411,1355670000000000,80488159,0
243_245386411,1569250800000000,1214459753,0
243_245386411,1569078000000000,1001100746,0
243_245386411,1567350000000000,1905830810,0
243_245386411,1452092400000000,1934590743,0
243_245386411,1527260400000000,953428663,0
243_245386411,1569682800000000,1850834078,0
243_245386411,1571324400000000,51705243,0
243_245386411,1450018800000000,280886220,0
243_245386411,1522854000000000,884911566,0
243_245386411,1539183600000000,1863346936,0
243_245386411,1565103600000000,903904793,0
243_245386411,1437145200000000,987918378,0
243_245386411,1566486000000000,373355023,0
243_245386411,1564326000000000,482805927,0
243_245386411,1515596400000000,1037732398,0
243_245386411,1571238000000000,318052965,0
243_245386411,1247238000000000,890054387,0
243_245386411,1504796400000000,114109618,0
243_245386411,1523977200000000,127076514,0
243_245386411,1321455600000000,321080009,0
243_245386411,1550156400000000,1662235713,0
243_245386411,1569078000000000,1613361828,0
243_245386411,1541084400000000,17850893,0
243_245386411,1516374000000000,2000728235,0
243_245386411,1573225200000000,2041983781,0
243_245386411,1476716400000000,310572932,0
243_245386411,1553266800000000,120847080,0
243_245386411,1558882800000000,1859459396,0
243_245386411,1503154800000000,1189316844,0
243_245386411,1474124400000000,1817897213,0
243_245386411,1554217200000000,1203651014,0
243_245386411,1548946800000000,1823390262,0
243_245386411,1366815600000000,1738604325,0
243_245386411,1559746800000000,676153477,0
243_245386411,1536073200000000,686840588,0
243_245386411,1450537200000000,1896062177,0
243_245386411,1563548400000000,1030191317,0
243_245386411,1518188400000000,663610034,0
243_245386411,1409238000000000,614716436,0
243_245386411,1374418800000000,1492590940,0
243_245386411,1401202800000000,1394524874,0
243_245386411,1496588400000000,1250112917,0
243_245386411,1567350000000000,22426187,0
243_245386411,1569596400000000,698336642,0
243_245386411,1399302000000000,1775428887,0
243_245386411,1545145200000000,382697424,0
243_245386411,1547391600000000,1783242896,0
243_245386411,1564844400000000,1881183983,0
243_245386411,1563116400000000,107657508,0
243_245386411,1323961200000000,11219580,0
243_245386411,1560006000000000,1761048302,0
243_245386411,1410620400000000,1291586632,0
243_245386411,1563548400000000,331942918,0
243_245386411,1546873200000000,1396827930,0
243_245386411,1513436400000000,1097536101,0
243_245386411,1514905200000000,54056059,0
243_245386411,1474470000000000,52505597,0
243_245386411,1570287600000000,1647560386,0
243_245386411,1385823600000000,1641880637,0
243_245386411,1525273200000000,549357837,0
243_245386411,1546095600000000,107879210,0
243_245386411,1486825200000000,106804552,0
243_245386411,1536850800000000,1517251756,0
243_245386411,1550847600000000,916117466,0
243_245386411,1518706800000000,811505060,0
243_245386411,1523026800000000,885984896,0
243_245386411,1539702000000000,41792607,0
243_245386411,1396278000000000,1855463032,0
243_245386411,1482764400000000,338957261,0
243_245386411,1549897200000000,1626987646,0
243_245386411,1568991600000000,341381090,0
243_245386411,1515510000000000,47710680,0
243_245386411,1573138800000000,1600818942,0
243_245386411,1517583600000000,1242705512,0
243_245386411,1565622000000000,1555994033,0
243_245386411,1401634800000000,571585615,0
243_245386411,1570287600000000,1615625883,0
243_245386411,1572706800000000,966745519,0
243_245386411,1566658800000000,1765747849,0
243_245386411,1551538800000000,1075390175,0
243_245386411,1546095600000000,834056391,0
243_245386411,1569510000000000,1444095102,0
243_245386411,1567868400000000,1751018088,0
243_245386411,1563634800000000,625907465,0
243_245386411,1561129200000000,471897798,0
243_245386411,1560524400000000,417020732,0
243_245386411,1493996400000000,1563929103,0
243_245386411,1545750000000000,1045101840,0
243_245386411,1321369200000000,178314186,0
243_245386411,1563116400000000,379623433,0
243_245386411,1453129200000000,1206973460,0
243_245386411,1571497200000000,1640529691,0
243_245386411,1490367600000000,1310788094,0
